"Gross domestic product (GDP) at basic prices, by industry, quarterly average (x 1,000,000) c 1 2 3"
"Frequency: Quarterly"
"Table: 36-10-0449-01"
"Release date: 2025-12-23"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices","Chained (2017) dollars 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 3","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"Energy sector  [T016] 5","114,035","117,333","117,057","119,071","120,545","120,017","123,990","123,780","121,869","121,407","119,325","121,195","123,499","122,734","125,630","127,972","131,545","136,063","134,118","136,237","134,330","130,952","133,061","130,013","130,426","124,625","134,942","136,640","138,667","140,986","140,855","138,887","144,973","145,642","148,807","147,282","143,863","150,793","146,911","148,070","149,444","134,537","129,806","136,714","141,014","140,261","144,828","145,145","146,222","148,971","151,259","148,057","150,041","150,624","150,895","153,148","151,700","155,575","156,200","158,356"
"Public sector  [T018] 5","366,091","368,752","371,689","374,144","374,963","375,961","377,471","377,518","377,857","379,639","381,166","381,155","380,776","379,659","380,588","382,255","383,186","383,016","383,613","384,947","386,811","387,903","387,914","388,984","391,726","394,180","395,304","396,030","397,089","398,510","401,758","404,358","408,997","413,261","415,805","417,213","418,892","420,158","422,642","425,340","419,356","387,714","417,114","425,275","430,104","432,623","439,269","441,285","442,809","446,680","450,369","454,471","458,182","459,016","462,409","458,761","468,247","474,201","478,869","479,479"
"Agriculture, forestry, fishing and hunting  [11]","31,436","31,479","31,658","31,787","32,682","32,923","32,891","33,028","32,276","32,513","33,477","34,970","37,360","38,971","40,165","39,513","37,150","36,452","35,836","36,166","37,025","37,755","38,249","38,915","39,075","39,129","39,836","40,156","40,559","40,462","40,443","40,369","40,636","40,567","40,176","39,830","40,706","41,381","41,339","41,498","41,504","41,487","41,883","40,606","37,721","35,820","32,603","34,432","38,856","42,812","47,356","46,661","44,344","42,510","40,809","41,525","42,605","43,222","43,855","44,047"
"Mining, quarrying, and oil and gas extraction  [21]","79,765","83,531","83,780","87,153","87,169","87,263","91,915","91,121","89,254","88,672","85,303","87,403","91,066","90,671","92,635","94,591","96,931","101,681","99,392","100,985","97,557","94,315","98,686","97,397","95,158","88,564","97,514","101,717","104,185","105,843","105,946","103,425","108,253","109,784","110,508","109,439","105,127","113,264","108,259","107,397","111,791","93,772","93,672","100,541","104,894","102,634","106,489","106,595","106,733","110,125","111,499","108,755","109,867","109,401","111,287","114,058","113,268","115,614","115,225","117,378"
"Utilities  [22]","40,144","39,465","40,156","40,922","41,668","41,839","41,798","40,790","40,442","40,973","41,656","41,394","40,431","40,709","40,990","42,346","42,393","42,348","42,258","43,152","44,033","43,212","42,257","41,475","42,765","43,764","44,679","43,516","43,933","43,953","44,296","44,610","44,410","44,335","45,738","46,304","46,488","45,874","45,560","46,550","45,530","45,570","46,011","45,425","44,999","45,686","45,953","45,839","47,499","47,357","48,430","47,510","47,104","47,165","46,147","46,400","45,960","46,463","47,705","47,216"
"Construction  [23]","128,426","129,889","131,353","132,720","134,326","133,887","136,423","138,165","142,088","146,103","147,485","150,140","151,504","152,570","153,635","153,591","154,344","155,478","157,813","159,826","155,799","153,675","152,574","150,747","148,302","145,251","144,147","145,675","147,442","149,966","152,492","155,165","156,651","157,511","155,272","153,370","153,558","155,805","158,903","159,375","158,590","144,080","154,226","157,480","164,322","168,835","163,561","164,202","167,793","167,111","165,643","166,277","165,563","166,954","166,697","165,098","164,985","165,679","166,039","167,700"
"Manufacturing  [31-33]","185,146","188,262","189,181","188,290","191,400","191,536","195,168","198,745","198,299","198,738","197,154","193,954","195,587","195,060","196,158","198,768","198,095","201,630","204,329","204,867","203,724","202,999","203,671","203,109","204,186","202,470","203,505","203,266","206,063","208,676","205,846","208,662","212,389","213,981","214,407","213,847","213,696","214,854","213,508","212,402","201,581","171,000","202,078","206,864","208,868","205,544","206,247","211,173","214,391","212,641","211,217","207,835","213,025","214,014","210,612","207,809","206,078","206,171","206,222","204,996"
"Wholesale trade  [41]","87,370","87,736","88,492","91,494","94,011","93,803","96,188","97,695","97,523","98,852","99,166","99,491","101,259","101,884","103,947","104,641","104,125","105,792","107,234","105,110","102,863","102,849","100,946","101,815","102,302","101,247","101,516","102,722","104,791","105,378","105,001","106,794","107,329","109,298","109,546","109,611","110,484","113,195","113,827","113,727","112,155","98,388","118,193","118,723","118,740","117,380","115,524","121,677","124,097","122,802","122,418","122,074","123,489","121,274","122,683","124,254","124,385","124,277","123,680","125,574"
"Retail trade  [44-45]","89,302","88,087","88,689","89,254","88,946","89,581","89,533","90,541","89,859","89,619","90,005","90,861","93,080","94,810","95,986","96,553","96,612","95,740","96,232","95,921","94,898","95,296","96,611","97,199","99,197","99,044","99,640","100,763","102,660","102,596","101,320","102,632","103,166","104,485","105,867","106,682","106,715","107,130","107,556","107,375","102,515","93,594","108,835","111,129","111,278","107,385","111,732","112,789","114,451","116,072","116,461","116,512","118,798","118,863","118,054","119,817","119,631","119,571","121,278","122,799"
"Transportation and warehousing  [48-49]","72,293","72,832","73,447","73,680","75,858","74,802","76,337","76,554","76,685","77,029","77,213","76,677","77,291","78,018","77,715","80,429","81,322","83,241","83,702","83,951","84,019","84,627","85,945","86,401","86,633","86,072","87,723","88,700","90,526","92,686","93,143","93,986","94,911","93,853","94,334","94,282","94,708","96,349","98,420","99,947","93,769","60,667","68,671","73,284","73,233","73,682","81,260","87,517","87,581","92,924","93,980","94,455","96,719","97,773","98,956","99,975","100,901","101,779","102,479","102,596"
"Information and cultural industries  [51]","53,399","53,499","53,992","54,614","54,595","54,621","54,582","54,666","54,966","55,089","55,448","54,814","54,448","54,485","54,724","55,260","55,719","56,152","56,852","57,245","57,034","57,321","57,838","58,442","58,969","59,398","60,334","60,728","61,496","62,078","62,125","62,321","63,590","64,294","65,051","65,824","67,120","68,429","69,304","70,663","68,864","64,893","68,112","69,567","70,497","71,170","73,248","74,121","73,874","73,960","74,943","74,887","76,337","78,224","77,986","78,594","79,815","79,648","79,785","79,551"
"Finance and insurance  [52]","101,721","102,607","103,593","105,410","106,524","106,464","107,492","106,892","107,457","108,184","109,660","109,686","110,549","113,019","113,609","114,223","113,901","114,402","116,544","119,289","121,156","120,817","122,560","122,226","123,985","124,410","127,329","128,142","130,337","136,136","136,316","137,176","138,042","137,112","138,180","140,122","139,918","141,012","142,540","144,538","143,538","144,461","147,926","151,342","154,780","156,277","160,667","162,664","163,893","162,023","161,034","161,018","163,750","164,270","163,909","164,899","166,399","168,824","172,420","174,161"
"Real estate and rental and leasing  [53]","210,964","210,800","210,598","213,234","215,927","216,356","218,603","221,331","223,432","224,452","225,215","226,643","228,574","230,377","232,352","233,613","234,488","236,786","239,179","240,542","241,643","244,473","245,831","247,349","248,955","250,546","251,199","252,722","255,551","256,926","258,064","261,255","261,601","263,372","265,862","266,893","267,884","270,455","273,436","274,641","273,949","267,474","280,905","281,876","285,618","284,186","284,892","288,576","290,700","286,512","286,358","287,838","289,603","293,886","295,221","295,750","299,767","301,204","302,534","305,551"
"Professional, scientific and technical services  [54]","96,696","96,908","97,616","98,912","100,574","101,529","102,727","104,238","104,475","104,721","105,676","105,554","106,226","107,570","108,730","110,401","111,063","113,281","115,607","115,253","114,011","113,097","112,977","113,583","114,675","115,489","116,562","117,346","118,042","119,695","120,290","121,433","123,804","125,107","125,724","127,193","128,757","129,938","131,961","133,479","128,958","120,870","130,754","136,822","139,755","140,741","145,262","149,661","153,050","155,561","158,890","160,838","163,691","165,452","164,972","165,317","166,868","168,233","169,223","169,620"
"Management of companies and enterprises  [55]","11,458","11,347","11,486","11,522","11,514","11,649","11,669","11,515","11,667","11,592","11,608","11,568","12,030","12,530","12,585","12,311","11,724","11,421","11,401","11,549","12,031","12,228","12,081","11,664","10,998","10,343","10,003","9,680","9,705","9,445","8,963","8,344","7,568","6,880","6,521","6,355","6,009","5,741","5,326","4,880","4,437","4,131","3,677","3,268","3,032","2,819","2,634","2,379","2,162","1,909","1,728","1,589","1,500","1,380","1,261","1,150","1,072","987","907","822"
"Administrative and support, waste management and remediation services  [56]","49,674","50,109","50,621","50,773","50,604","50,623","50,986","51,627","52,596","53,346","53,951","53,651","53,371","53,342","53,674","54,628","54,880","55,735","56,339","56,586","56,744","56,708","57,013","57,239","57,283","56,988","56,885","56,496","56,622","56,631","56,238","55,629","57,060","57,737","58,291","59,052","58,940","58,383","58,770","59,143","54,867","43,332","50,142","53,403","54,333","54,443","56,023","57,449","58,848","59,582","60,453","60,753","61,243","61,477","61,092","61,072","61,305","61,114","60,826","61,011"
"Educational services  [61]","97,486","97,662","98,048","98,644","98,981","99,089","99,636","99,559","99,704","100,770","101,993","102,542","103,437","103,460","103,969","104,910","105,357","104,712","104,983","106,564","107,171","107,065","106,378","106,230","106,855","107,282","107,355","107,997","107,896","108,424","109,356","110,444","111,897","112,876","113,305","113,465","113,984","114,487","115,217","115,567","112,698","101,825","112,197","113,925","115,205","113,508","116,815","117,571","116,984","118,325","119,150","119,861","121,226","121,646","122,686","117,290","122,580","125,454","126,137","126,004"
"Health care and social assistance  [62]","135,152","136,276","137,072","137,980","138,143","138,185","138,647","139,346","140,092","140,680","141,231","140,569","139,362","138,779","138,775","139,320","140,197","141,188","141,828","141,511","142,207","142,943","143,397","144,321","145,535","146,311","147,184","147,282","147,458","147,898","148,659","149,421","151,520","153,053","153,955","154,593","154,980","155,462","156,872","158,490","156,350","143,443","156,558","159,846","161,726","164,278","166,812","167,904","169,673","171,320","173,194","174,949","176,105","176,927","177,741","178,715","181,691","183,814","185,830","186,953"
"Arts, entertainment and recreation  [71]","13,921","13,418","13,473","13,336","13,314","13,391","13,511","13,825","14,070","13,719","13,592","12,672","13,161","13,356","13,513","13,881","13,871","14,366","14,280","14,187","14,163","14,353","14,577","14,651","14,770","14,701","14,976","14,929","15,287","15,670","15,722","15,742","15,849","15,845","15,739","16,223","16,508","16,601","16,717","17,033","15,261","7,156","9,748","10,451","10,339","10,788","13,836","15,872","14,691","16,829","17,445","17,875","18,312","18,331","18,673","18,545","18,695","18,837","18,957","19,043"
"Accommodation and food services  [72]","38,082","37,408","37,189","37,537","37,635","38,369","38,568","38,872","39,015","39,078","39,490","39,593","40,209","40,595","40,926","41,294","42,123","42,962","43,358","43,966","43,633","44,219","44,409","44,587","45,256","45,446","45,862","45,124","45,728","45,950","46,167","46,115","46,463","46,557","47,280","47,838","48,296","48,501","48,620","48,802","41,896","21,035","32,034","29,700","30,801","31,450","40,840","43,333","42,114","47,986","50,268","50,680","51,635","50,375","49,509","50,369","50,941","51,011","50,720","51,107"
"Other services (except public administration)  [81]","35,849","35,695","35,694","36,169","36,382","36,898","37,081","37,258","37,430","37,527","37,892","37,855","38,130","38,298","38,741","39,019","39,377","39,773","40,142","40,139","40,107","40,125","39,938","39,875","39,539","39,259","39,312","39,498","40,107","40,825","41,171","41,285","41,517","41,503","41,456","41,464","41,654","41,767","41,697","41,647","40,086","32,367","37,335","38,377","38,424","38,546","39,895","40,875","41,663","42,697","43,491","43,889","44,504","44,915","44,844","44,914","44,974","44,940","44,974","44,764"
"Public administration  [91]","133,573","134,964","136,741","137,702","138,006","138,861","139,357","138,795","138,221","138,318","138,024","138,089","137,965","137,391","137,802","137,985","137,604","137,105","136,804","136,866","137,425","137,888","138,130","138,422","139,328","140,589","140,768","140,747","141,735","142,185","143,742","144,494","145,584","147,335","148,545","149,151","149,928","150,213","150,551","151,273","150,283","142,475","148,318","151,472","153,142","154,761","155,617","155,796","156,117","157,012","157,999","159,620","160,825","160,423","161,969","162,596","163,917","164,921","166,872","166,493"


"Table Corrections:"
Date,Note
"","On September 4, 2018, the data in the quarterly table for 2007 constant prices from 1997Q1 to 2012Q4 has been corrected."



Footnotes:
1,"Aggregates are not always equal to the sum of their components."
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
3,"With November 28, 2025 release, the monthly gross domestic product (GDP) by industry adopted the <a href="https://www.statcan.gc.ca/en/subjects/standard/naics/2022/v1/index" rel="external noopener noreferrer" target="_blank">North American Industry Classification System (NAICS) Canada 2022 version 1.0 (opens new window)</a>."
4,"Effective November 30, 2023, the data is presented on a 2017 reference year basis."
5,"The alphanumeric code represents an aggregation of North American Industry Classification System (NAICS) industries, whose definition is available in the <a href="https://www.statcan.gc.ca/en/statistical-programs/document/1303_D7_V4" rel="external noopener noreferrer" target="_blank">Gross domestic product (GDP) by industry, Industry code concordance (opens new window)</a>."



"How to cite: Statistics Canada. Table 36-10-0449-01  Gross domestic product (GDP) at basic prices, by industry, quarterly average (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610044901
